Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests
ID34591,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,94.5,0
ID25655,1,0,0,4,Not Selected,0,Room_Type 1,2,2018,10,19,Online,0,0,0,134.0,0
ID04852,1,0,1,2,Meal Plan 1,1,Room_Type 1,0,2017,11,9,Online,0,0,0,100.0,1
ID10085,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2017,11,26,Online,0,0,0,97.0,0
ID17688,1,0,0,3,Meal Plan 1,0,Room_Type 1,14,2017,9,15,Online,0,0,0,114.0,1
ID11377,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,Offline,0,0,0,67.0,0
ID16549,2,0,2,1,Meal Plan 1,0,Room_Type 4,131,2018,10,15,Online,0,0,0,132.3,0
ID13734,2,0,0,2,Meal Plan 1,0,Room_Type 4,47,2018,3,18,Online,0,0,0,112.5,1
ID11864,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,6,21,Online,0,0,0,99.9,1
ID18174,2,2,0,2,Meal Plan 1,0,Room_Type 6,4,2018,5,4,Online,0,0,0,230.0,2
ID18183,1,0,0,2,Not Selected,0,Room_Type 1,0,2018,8,10,Online,0,0,0,88.0,0
ID12417,2,0,1,3,Meal Plan 1,0,Room_Type 4,38,2017,11,5,Offline,0,0,0,60.0,0
ID14486,3,0,1,4,Meal Plan 1,0,Room_Type 4,112,2018,8,22,Online,0,0,0,150.3,0
ID04113,1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2017,10,27,Corporate,0,0,0,95.0,1
ID25814,3,0,2,5,Meal Plan 1,0,Room_Type 4,187,2018,7,11,Online,0,0,0,134.45,2
ID24848,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100.0,0
ID15442,2,0,1,1,Meal Plan 1,0,Room_Type 1,35,2018,9,17,Offline,0,0,0,85.5,0
ID17234,3,0,2,3,Meal Plan 1,0,Room_Type 1,243,2018,10,30,Online,0,0,0,116.45,2
ID33428,2,0,1,2,Meal Plan 1,0,Room_Type 1,31,2017,9,11,Online,0,0,0,134.1,1
ID35198,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,90.67,1
ID02464,2,0,1,0,Meal Plan 1,0,Room_Type 5,83,2018,9,4,Offline,0,0,0,101.15,1
ID08533,1,0,1,5,Meal Plan 1,0,Room_Type 1,43,2018,3,8,Online,0,0,0,68.47,0
ID00985,2,0,1,1,Meal Plan 1,0,Room_Type 1,9,2017,9,7,Online,0,0,0,114.5,2
ID11588,2,0,0,4,Meal Plan 1,0,Room_Type 4,94,2018,10,19,Online,0,0,0,132.3,2
ID00920,2,0,1,2,Meal Plan 1,0,Room_Type 1,38,2018,1,15,Online,0,0,0,55.59,0
ID32437,2,0,2,3,Meal Plan 1,0,Room_Type 4,124,2018,8,7,Offline,0,0,0,96.56,0
ID08427,1,0,2,4,Not Selected,0,Room_Type 1,42,2018,11,30,Online,0,0,0,48.5,1
ID22134,2,0,0,1,Meal Plan 1,0,Room_Type 1,90,2018,8,27,Online,0,0,0,135.9,0
ID29184,2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,4,5,Corporate,1,3,3,45.0,1
